Mon Oct 21 13:52:45 +0000 2019,1186279156822302721,Could K-12 get any worse?,64290676,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"Not PC, Retired... earned it Now frozen in a Twitter Black Hole not gaining or losing followers",brucehagen,Mon Aug 10 00:17:48 +0000 2009,,20b60eedd781650d,Appleton,"Appleton, WI",US,"[[[-88.451199, 44.221575], [-88.451199, 44.33491], [-88.335679, 44.33491], [-88.335679, 44.221575]]]"
Mon Oct 21 13:52:45 +0000 2019,1186279157346557953,"This season, the Nets has always been the perfect 👌🏻",40130319,"Brooklyn, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,| #Nets fan | #Jets fan | #Mets fan | Brother of #AEPi | #UHart '14 | #BBYO '10 | Graphic Designer |  RIP #NBearak 🐾 | My opinions are my own | #CancerSucks,Doug Bearak,Fri May 15 00:32:00 +0000 2009,,00c39537733fa112,Queens,"Queens, NY",US,"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]"
Mon Oct 21 13:52:45 +0000 2019,1186279157791150080,I really don’t got no man. I got a friend that im interested in though I ain’t gone lie. But ion think he intereste… https://t.co/oitD00iEix,821559684,"New York, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Forever Markie ❤️ |Public Figure| SC:lilbigbooty94_x | IG: kayjanae_x #MastersPending🔜📶📚 #UnitedAchievers,November 27 💋🎉,Thu Sep 13 13:59:37 +0000 2012,,a307591cd0413588,Buffalo,"Buffalo, NY",US,"[[[-78.912276, 42.826008], [-78.912276, 42.966451], [-78.79485, 42.966451], [-78.79485, 42.826008]]]"
Mon Oct 21 13:52:45 +0000 2019,1186279157384302593,#goodmorning #MondayMorning #PatriotsNation #GameDay #MondayNightFootball #NEvsNYJ #GoPats #LetsGo https://t.co/mdMwK1pSiu,3077947769,"Wallingford, Connecticut ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,❤️WIFE❤️ @Patriots @NHLBruins #CarpeDiem #RheumatoidArthritis #FreelancePhotographer 📸 #DogMom 🐶🌹,Dedicated Pat Fan 💙,Sat Mar 07 19:42:16 +0000 2015,,09ed833e6b8f664f,Wallingford,"Wallingford, CT",US,"[[[-72.88753, 41.396625], [-72.88753, 41.516538], [-72.746075, 41.516538], [-72.746075, 41.396625]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279158504181761,I have been sitting here all morning for the Brent recap on @HowardStern and this dickhead @memetwalker coming in a… https://t.co/lIhOn2gVmU,4656998826,"Chillicothe, OH","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,eorracle07 on most gaming platforms,Jason Azbell,Sat Dec 26 19:53:00 +0000 2015,,de599025180e2ee7,Ohio,"Ohio, USA",US,"[[[-84.820309, 38.403186], [-84.820309, 42.327133], [-80.518626, 42.327133], [-80.518626, 38.403186]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279158801813504,Did what had to be done. #ivoted #canadianelection #canadianelection2019 #election #electionday #canada… https://t.co/Ut1Okb1Zi1,18259310,-,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","{'type': 'Point', 'coordinates': [43.6161, -79.5125]}",comedian/folksinger/bass player/originator of the man bun...tweeting high...saving the world by wasting the time of trolls and fools by trolling foolishly.,Blair Streeter,Sat Dec 20 02:37:33 +0000 2008,"{'type': 'Point', 'coordinates': [-79.5125, 43.6161]}",3797791ff9c0e4c6,Toronto,"Toronto, Ontario",CA,"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279159024308229,These dope ... how much ???,1375389722,618✈️615,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,IG : tamyjailashe • TSU • 🏳️‍🌈• Lash Tech ✨,ℳ𝓎𝒿𝒶𝒾,Tue Apr 23 20:08:09 +0000 2013,,00ab941b685334e3,Nashville,"Nashville, TN",US,"[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279159582150656,🚔,450435757,"Dallas, TX","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,catch me if you can 🌈 23 #Marketing #RealEstate #Trading,b ✨,Fri Dec 30 07:20:53 +0000 2011,,488da0de4c92ac8e,Plano,"Plano, TX",US,"[[[-96.85743, 32.997151], [-96.85743, 33.125334], [-96.612371, 33.125334], [-96.612371, 32.997151]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279159884062728,@ayebrooke Me too. I wish Keith &amp; Sons had Postmates or Uber wats,28694143,"ÜT: 38.959948,-76.549832","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"#CrankHeavyCrewDJ Booking info: booking@djdcinfamous.com IG (at) djdcinfamous, bbm: E36090B5",DJ DC Infamous,Sat Apr 04 00:12:47 +0000 2009,,6dd1efe2ee6ed145,District of Columbia,"District of Columbia, USA",US,"[[[-77.119901, 38.791514], [-77.119901, 38.99538], [-76.909396, 38.99538], [-76.909396, 38.791514]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279159921872896,Anywho ion talk to nobody. I ain’t fuckin nobody. I ain’t kissing nobody nothing i be chillin.,821559684,"New York, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,Forever Markie ❤️ |Public Figure| SC:lilbigbooty94_x | IG: kayjanae_x #MastersPending🔜📶📚 #UnitedAchievers,November 27 💋🎉,Thu Sep 13 13:59:37 +0000 2012,,a307591cd0413588,Buffalo,"Buffalo, NY",US,"[[[-78.912276, 42.826008], [-78.912276, 42.966451], [-78.79485, 42.966451], [-78.79485, 42.826008]]]"
Mon Oct 21 13:52:46 +0000 2019,1186279160022470656,sonhei que tava promovendo um almoço na minha casa e chamei só uns amigos mais próximos e ai um @ que não me desce… https://t.co/bzf7VtuWFr,59809913,"Belo Horizonte, Minas Gerais","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,"sem tempo, irmão",Laris 🌻,Fri Jul 24 15:30:53 +0000 2009,,fa48d6b6ccab7579,Everett,"Everett, MA",US,"[[[-71.076232, 42.386579], [-71.076232, 42.424083], [-71.02802, 42.424083], [-71.02802, 42.386579]]]"
